date,mainCategoryName,subcategoryName,timeRecorded,timeSpent,currentLoggedInUser
2021-07-01,Education,Studied/Revised,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-01,Skills,Programming,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-01,Entertainment,SM/Anime/MM,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-01,Sleep,Sleep,00:00am,429.42,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-01,Personal Growth,Reading,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-01,Skills,English Comms,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-02,Skills,English Comms,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-02,Sleep,Sleep,00:00am,418.2,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-02,Skills,Programming,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-02,Entertainment,SM/Anime/MM,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-02,Education,Studied/Revised,00:00am,420.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-02,Personal Growth,Reading,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-03,Personal Growth,Reading,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-03,Skills,Programming,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-03,Education,Studied/Revised,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-03,Entertainment,SM/Anime/MM,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-03,Sleep,Sleep,00:00am,418.53,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-03,Skills,English Comms,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-04,Skills,Programming,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-04,Skills,English Comms,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-04,Education,Studied/Revised,00:00am,186.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-04,Sleep,Sleep,00:00am,420.01,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-04,Personal Growth,Reading,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-04,Entertainment,SM/Anime/MM,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-05,Personal Growth,Reading,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-05,Education,Studied/Revised,00:00am,425.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-05,Entertainment,SM/Anime/MM,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-05,Skills,Programming,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-05,Sleep,Sleep,00:00am,421.07,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-05,Skills,English Comms,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-06,Entertainment,SM/Anime/MM,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-06,Education,Studied/Revised,00:00am,180.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-06,Personal Growth,Reading,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-06,Skills,English Comms,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-06,Sleep,Sleep,00:00am,421.9,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-06,Skills,Programming,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-07,Personal Growth,Reading,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-07,Skills,English Comms,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-07,Education,Studied/Revised,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-07,Sleep,Sleep,00:00am,421.24,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-07,Skills,Programming,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-07,Entertainment,SM/Anime/MM,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-08,Personal Growth,Reading,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-08,Education,Studied/Revised,00:00am,214.39,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-08,Entertainment,SM/Anime/MM,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-08,Skills,English Comms,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-08,Sleep,Sleep,00:00am,422.11,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-08,Skills,Programming,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-09,Skills,English Comms,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-09,Entertainment,SM/Anime/MM,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-09,Skills,Programming,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-09,Education,Studied/Revised,00:00am,95.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-09,Personal Growth,Reading,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-09,Sleep,Sleep,00:00am,422.98,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-10,Sleep,Sleep,00:00am,423.27,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-10,Education,Studied/Revised,00:00am,137.61,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-10,Personal Growth,Reading,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-10,Skills,English Comms,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-10,Entertainment,SM/Anime/MM,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-10,Skills,Programming,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-11,Sleep,Sleep,00:00am,424.23,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-11,Skills,English Comms,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-11,Entertainment,SM/Anime/MM,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-11,Skills,Programming,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-11,Personal Growth,Reading,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-11,Education,Studied/Revised,00:00am,96.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-12,Skills,Programming,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-12,Education,Studied/Revised,00:00am,345.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-12,Entertainment,SM/Anime/MM,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-12,Skills,English Comms,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-12,Sleep,Sleep,00:00am,424.36,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-12,Personal Growth,Reading,00:00am,35.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-13,Skills,English Comms,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-13,Personal Growth,Reading,00:00am,25.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-13,Education,Studied/Revised,00:00am,300.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-13,Entertainment,SM/Anime/MM,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-13,Skills,Programming,00:00am,60.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-13,Sleep,Sleep,00:00am,425.22,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-14,Skills,Programming,00:00am,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-14,Sleep,Sleep,00:00am,426.29,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-14,Personal Growth,Reading,00:00am,60.0,hhANBj74wiclvfuDLGfuDlFZgJ62
